,date,lower,median,upper,canton
0,2022-01-11,100.354975527818,102.26368536594002,104.20869807023267,AG
1,2022-01-12,98.70015494990437,101.08211047809742,103.52155033487301,AG
2,2022-01-13,106.41741593739292,108.68922895852664,111.00954094345809,AG
3,2022-01-14,98.4902564380175,100.77348646314961,103.10964699670157,AG
4,2022-01-15,100.85792523088264,103.95399021270914,107.14509599920963,AG
5,2022-01-16,94.3319747755274,96.75966117856512,99.24982545599825,AG
6,2022-01-17,100.34429568357318,102.77332041807688,105.26114432118938,AG
7,2022-01-18,94.1534178199527,96.41915372096511,98.73941296581359,AG
8,2022-01-19,102.26527476672243,104.3184090479417,106.41276318982564,AG
9,2022-01-20,105.219633535817,108.34839668414413,111.57019530987576,AG
10,2022-01-21,97.82409807520284,102.04489442059237,106.44780460234519,AG
11,2022-01-22,102.04254809995706,104.011190421041,106.01781251292178,AG
12,2022-01-23,104.24380208040375,109.01208134263567,113.99846937170912,AG
13,2022-01-24,105.37874435213702,108.36537989980833,111.4366624220612,AG
0,2022-01-11,0.009986492639583944,0.009998791742987527,0.010011105993645505,AI
1,2022-01-12,0.009298925741826856,0.00936037191910869,0.00942222412530261,AI
2,2022-01-13,0.010012375650480578,0.010128640635144947,0.010246255703658632,AI
3,2022-01-14,0.010401282984811517,0.010414128730847782,0.010426990341579918,AI
4,2022-01-15,0.01758785192508971,0.018051316181910616,0.018526993363781462,AI
5,2022-01-16,0.012160240893945936,0.012206565426533717,0.012253066432789922,AI
6,2022-01-17,0.012194746769762746,0.01228283638557793,0.012371562322963459,AI
7,2022-01-18,0.010704193091960681,0.010782433703268552,0.010861246201985893,AI
8,2022-01-19,0.008962716810041248,0.0089854241392445,0.009008188998191296,AI
9,2022-01-20,0.010123287329216931,0.010153169269018618,0.010183139414390025,AI
10,2022-01-21,0.009806702420138804,0.00989154970989702,0.009977131095814261,AI
11,2022-01-22,0.010464051724712585,0.010708690505015057,0.010959048688699924,AI
12,2022-01-23,0.009527719993691997,0.009635880068309672,0.009745267991956184,AI
13,2022-01-24,0.009196501987683296,0.009391342596786947,0.009590311173568605,AI
0,2022-01-11,6.680121305463646,7.047263606731282,7.434584204651982,AR
1,2022-01-12,6.33837021122965,6.904431405189304,7.521045858840122,AR
2,2022-01-13,7.405555144227587,8.147478298810196,8.963730785439555,AR
3,2022-01-14,6.269856788368049,7.116723309601977,8.077975681899902,AR
4,2022-01-15,6.286091806042716,7.120430367063684,8.065508773426615,AR
5,2022-01-16,5.320957546100637,6.2586542432519305,7.361598471177607,AR
6,2022-01-17,5.759966973910634,6.561532079351152,7.474644112260187,AR
7,2022-01-18,3.8390934466625453,4.300274897636307,4.816857013813248,AR
8,2022-01-19,4.3075666997825115,5.19369761037405,6.2621189056380855,AR
9,2022-01-20,4.866269109946098,5.553158289039377,6.337004034589512,AR
10,2022-01-21,5.770366372170586,6.403287049671173,7.105629416917451,AR
11,2022-01-22,4.652608774776989,5.208537598958991,5.830892996385632,AR
12,2022-01-23,5.818104135259564,6.824220463392425,8.004323032094765,AR
13,2022-01-24,4.636966861606769,5.3818816483640814,6.246464756265577,AR
0,2022-01-11,156.02231098811038,157.78362118767066,159.56481452829857,BE
1,2022-01-12,154.33814744748548,157.9252723570205,161.59576916993402,BE
2,2022-01-13,144.82200155869535,148.46746892674213,152.2047001993646,BE
3,2022-01-14,150.73667077859844,154.55219571864345,158.46430120868274,BE
4,2022-01-15,154.1706600821735,155.9457613815293,157.74130097064332,BE
5,2022-01-16,155.00608453665464,158.15323945273101,161.36429240284514,BE
6,2022-01-17,155.44370895393496,158.74200138890302,162.11027885613632,BE
7,2022-01-18,157.29858231990778,161.20181887081074,165.20191106623136,BE
8,2022-01-19,163.3016564692818,166.44958756078464,169.65820064640255,BE
9,2022-01-20,149.6702859451678,152.21208828779422,154.79705724233818,BE
10,2022-01-21,157.9902126991131,161.17635834449405,164.42675812245798,BE
11,2022-01-22,158.57068480208534,161.85678398453337,165.21098180608587,BE
12,2022-01-23,156.31298525940778,159.61667814507993,162.99019495910153,BE
13,2022-01-24,158.66372458103788,161.67803640525977,164.7496144747916,BE
0,2022-01-11,58.66216142277314,61.03059383064563,63.49464958301499,BL
1,2022-01-12,58.250192959980176,61.168900194960756,64.23385333043785,BL
2,2022-01-13,56.86324762110755,60.54385044416213,64.4626886425745,BL
3,2022-01-14,57.15413351397244,60.53150506708551,64.1084534120502,BL
4,2022-01-15,54.54883119050945,58.22930987354655,62.158115111720676,BL
5,2022-01-16,50.60023828923418,55.934579055137256,61.831272734165445,BL
6,2022-01-17,53.18718871951281,59.164959024343524,65.81457792049123,BL
7,2022-01-18,53.9422198506623,58.98407138144749,64.49717283351617,BL
8,2022-01-19,57.058046590276,61.44974309568909,66.17946375980065,BL
9,2022-01-20,48.17688964898966,51.48517601648093,55.0206409911648,BL
10,2022-01-21,51.83128917165265,56.19541344348448,60.92699106182517,BL
11,2022-01-22,51.732072848506625,55.778963079577025,60.14243294182309,BL
12,2022-01-23,45.35274385821228,52.04571920284195,59.72641690234982,BL
13,2022-01-24,47.03337998192933,50.760782750842104,54.78358277606596,BL
0,2022-01-11,54.76354094769157,55.59546412972717,56.440025212249694,BS
1,2022-01-12,51.47133288640877,53.37721475184803,55.35366766103754,BS
2,2022-01-13,53.69847020598171,54.964536092370096,56.2604524162575,BS
3,2022-01-14,48.57322322058562,50.36859521153232,52.23032805671425,BS
4,2022-01-15,49.72827067933335,51.289745197165,52.90025022895842,BS
5,2022-01-16,45.81552525467423,47.773423063717416,49.81499041074686,BS
