datum,cases_FR,diff_cases_FR,diff_2_cases_FR,cases_GE,diff_cases_GE,diff_2_cases_GE,cases_GR,diff_cases_GR,diff_2_cases_GR,cases_JU,diff_cases_JU,diff_2_cases_JU,cases_NE,diff_cases_NE,diff_2_cases_NE,cases_TI,diff_cases_TI,diff_2_cases_TI,cases_VD,diff_cases_VD,diff_2_cases_VD,cases_VS,diff_cases_VS,diff_2_cases_VS,hosp_FR,diff_hosp_FR,diff_2_hosp_FR,hosp_GE,diff_hosp_GE,diff_2_hosp_GE,hosp_GR,diff_hosp_GR,diff_2_hosp_GR,hosp_JU,diff_hosp_JU,diff_2_hosp_JU,hosp_NE,diff_hosp_NE,diff_2_hosp_NE,hosp_TI,diff_hosp_TI,diff_2_hosp_TI,hosp_VD,diff_hosp_VD,diff_2_hosp_VD,hosp_VS,diff_hosp_VS,diff_2_hosp_VS,test_FR,diff_test_FR,diff_2_test_FR,test_GE,diff_test_GE,diff_2_test_GE,test_GR,diff_test_GR,diff_2_test_GR,test_JU,diff_test_JU,diff_2_test_JU,test_NE,diff_test_NE,diff_2_test_NE,test_TI,diff_test_TI,diff_2_test_TI,test_VD,diff_test_VD,diff_2_test_VD,test_VS,diff_test_VS,diff_2_test_VS,vac_all
2020-03-01,0.2857142857142857,0.0,-0.2857142857142857,1.4285714285714286,0.14285714285714285,0.14285714285714285,1.2857142857142858,0.14285714285714285,-0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.1428571428571428,0.2857142857142857,0.5714285714285714,1.0,0.0,-0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.2857142857142857,0.0,0.0,1.7142857142857142,0.2857142857142857,0.14285714285714285,1.2857142857142858,0.0,-0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,-0.14285714285714285,1.4285714285714286,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.2857142857142858,0.14285714285714285,0.0,1.0,0.0,-0.14285714285714285,0.2857142857142857,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.7142857142857142,0.0,-0.2857142857142857,1.4285714285714286,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,2.857142857142857,1.4285714285714286,0.8571428571428571,1.4285714285714286,0.5714285714285714,-0.14285714285714285,0.5714285714285714,0.0,-0.2857142857142857,0.8571428571428571,0.0,-0.42857142857142855,0.42857142857142855,0.0,0.0,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,1.7142857142857142,0.42857142857142855,0.2857142857142857,1.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,1.0,0.2857142857142857,-0.14285714285714285,1.7142857142857142,0.0,0.0,1.1428571428571428,-0.2857142857142857,-0.42857142857142855,0.5714285714285714,0.2857142857142857,0.14285714285714285,1.2857142857142858,1.0,0.8571428571428571,3.857142857142857,1.0,-0.42857142857142855,2.4285714285714284,1.0,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.7142857142857143,-0.14285714285714285,-0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.42857142857142855,-0.42857142857142855,-0.5714285714285714,0.14285714285714285,0.0,-0.14285714285714285,0.2857142857142857,-0.14285714285714285,-0.2857142857142857,2.2857142857142856,0.5714285714285714,0.14285714285714285,1.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,1.1428571428571428,0.14285714285714285,-0.14285714285714285,1.8571428571428572,0.14285714285714285,0.14285714285714285,1.2857142857142858,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.0,-0.2857142857142857,1.4285714285714286,0.14285714285714285,-0.8571428571428571,5.428571428571429,1.5714285714285714,0.5714285714285714,4.0,1.5714285714285714,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.0,1.0,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,2.4285714285714284,0.14285714285714285,-0.42857142857142855,1.7142857142857142,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,1.2857142857142858,0.14285714285714285,0.0,3.5714285714285716,1.7142857142857142,1.5714285714285714,1.2857142857142858,0.0,-0.14285714285714285,0.5714285714285714,0.0,0.0,2.0,0.5714285714285714,0.42857142857142855,6.714285714285714,1.2857142857142858,-0.2857142857142857,5.142857142857143,1.1428571428571428,-0.42857142857142855,0.7142857142857143,-0.14285714285714285,-0.2857142857142857,1.1428571428571428,0.14285714285714285,-0.14285714285714285,1.0,0.14285714285714285,-0.14285714285714285,0.42857142857142855,0.0,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.2857142857142857,2.7142857142857144,0.2857142857142857,0.14285714285714285,2.4285714285714284,0.7142857142857143,0.0,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,1.0,-0.2857142857142857,-0.42857142857142855,4.428571428571429,0.8571428571428571,-0.8571428571428571,1.1428571428571428,-0.14285714285714285,-0.14285714285714285,0.5714285714285714,0.0,0.0,2.7142857142857144,0.7142857142857143,0.14285714285714285,8.285714285714286,1.5714285714285714,0.2857142857142857,6.714285714285714,1.5714285714285714,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.2857142857142857,1.0,-0.14285714285714285,-0.2857142857142857,1.1428571428571428,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,-0.2857142857142857,1.0,0.14285714285714285,-0.2857142857142857,2.857142857142857,0.14285714285714285,-0.14285714285714285,2.4285714285714284,0.0,-0.7142857142857143,0.8571428571428571,0.0,-0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,1.5714285714285714,0.5714285714285714,0.8571428571428571,5.428571428571429,1.0,0.14285714285714285,1.1428571428571428,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.14285714285714285,3.5714285714285716,0.8571428571428571,0.14285714285714285,9.428571428571429,1.1428571428571428,-0.42857142857142855,8.142857142857142,1.4285714285714286,-0.14285714285714285,1.7142857142857142,0.8571428571428571,0.7142857142857143,1.0,0.0,0.14285714285714285,1.0,-0.14285714285714285,-0.2857142857142857,0.5714285714285714,0.0,-0.14285714285714285,0.42857142857142855,0.0,0.0,1.1428571428571428,0.14285714285714285,0.0,2.7142857142857144,-0.14285714285714285,-0.2857142857142857,2.857142857142857,0.42857142857142855,0.42857142857142855,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,2.0,0.42857142857142855,-0.14285714285714285,9.285714285714286,3.857142857142857,2.857142857142857,2.7142857142857144,1.5714285714285714,1.5714285714285714,0.8571428571428571,0.14285714285714285,0.0,3.857142857142857,0.2857142857142857,-0.5714285714285714,15.571428571428571,6.142857142857143,5.0,12.571428571428571,4.428571428571429,3.0,2.0,0.2857142857142857,-0.5714285714285714,0.7142857142857143,-0.2857142857142857,-0.2857142857142857,1.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.0,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.0,-0.14285714285714285,3.142857142857143,0.42857142857142855,0.5714285714285714,3.857142857142857,1.0,0.5714285714285714,1.2857142857142858,0.14285714285714285,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,3.0,1.0,0.5714285714285714,11.714285714285714,2.4285714285714284,-1.4285714285714286,3.2857142857142856,0.5714285714285714,-1.0,1.1428571428571428,0.2857142857142857,0.14285714285714285,4.285714285714286,0.42857142857142855,0.14285714285714285,20.857142857142858,5.285714285714286,-0.8571428571428571,17.714285714285715,5.142857142857143,0.7142857142857143,2.7142857142857144,0.7142857142857143,0.42857142857142855,1.0,0.2857142857142857,0.5714285714285714,2.4285714285714284,0.8571428571428571,0.2857142857142857,0.42857142857142855,-0.14285714285714285,-0.14285714285714285,0.42857142857142855,-0.14285714285714285,-0.2857142857142857,1.1428571428571428,0.0,0.0,3.7142857142857144,0.5714285714285714,0.14285714285714285,4.857142857142857,1.0,0.0,1.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
